Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  5]  17.00-18.00  sec  11.4 MBytes  11.3 MBytes/sec  1.017 ms  0/1454 (0%)
[  5]  18.00-19.00  sec  11.5 MBytes  11.6 MBytes/sec  0.730 ms  0/1478 (0%)
[  5]  19.00-20.00  sec  11.5 MBytes  11.5 MBytes/sec  0.762 ms  0/1467 (0%)
[  5]  20.00-21.00  sec  11.5 MBytes  11.5 MBytes/sec  0.349 ms  0/1467 (0%)
[  5]  21.00-22.00  sec  11.3 MBytes  11.3 MBytes/sec  0.866 ms  0/1451 (0%)
[  5]  22.00-23.01  sec  11.3 MBytes  11.2 MBytes/sec  1.460 ms  0/1443 (0%)
[  5]  23.01-24.00  sec  11.7 MBytes  11.8 MBytes/sec  0.590 ms  0/1492 (0%)
[  5]  24.00-25.00  sec  11.4 MBytes  11.4 MBytes/sec  0.261 ms  0/1462 (0%)
[  5]  25.00-26.00  sec  11.2 MBytes  11.2 MBytes/sec  0.732 ms  0/1435 (0%)
[  5]  26.00-27.00  sec  11.6 MBytes  11.6 MBytes/sec  0.703 ms  0/1485 (0%)
[  5]  27.00-28.00  sec  11.5 MBytes  11.5 MBytes/sec  0.424 ms  0/1468 (0%)
[  5]  28.00-29.00  sec  11.4 MBytes  11.4 MBytes/sec  0.600 ms  0/1460 (0%)
[  5]  29.00-30.00  sec  11.4 MBytes  11.5 MBytes/sec  0.545 ms  0/1464 (0%)
[  5]  30.00-31.00  sec  11.4 MBytes  11.4 MBytes/sec  0.789 ms  0/1458 (0%)
[  5]  31.00-32.00  sec  11.5 MBytes  11.4 MBytes/sec  0.828 ms  0/1466 (0%)
[  5]  32.00-33.00  sec  11.4 MBytes  11.4 MBytes/sec  0.608 ms  0/1460 (0%)
[  5]  33.00-34.00  sec  11.4 MBytes  11.4 MBytes/sec  0.457 ms  0/1465 (0%)
[  5]  34.00-35.00  sec  11.4 MBytes  11.4 MBytes/sec  0.797 ms  0/1455 (0%)
[  5]  35.00-36.00  sec  11.3 MBytes  11.3 MBytes/sec  0.778 ms  0/1449 (0%)
